;Escalera 60x60x60cm 	;9500,00;Goma Espuma; 	0; 1; 0
;Escalera 50x70x70cm	;9500,00;Goma Espuma; 	0; 1; 0
;Escalera 1mx06x06 con 5 escalones	;12000,00;Goma Espuma; 	0; 1; 0
;Escalera 0,50x0,50x0,30	;2500,00;Goma Espuma; 	0; 1; 0
;Espejo educativo	;2500,00;Goma Espuma; 	0; 1; 0
;Forma de U 50x50x30cm	;5400,00;Goma Espuma; 	0; 1; 0
;Forma en U 60x60x30cm	;6900,00;Goma Espuma; 	0; 1; 0
;Forma redonda 0,60x0,30 de alto	;4300,00;Goma Espuma; 	0; 1; 0
;Geometría en Colores Chico	;4500,00;Goma Espuma; 	0; 1; 0
;Geometría en Colores Grande	;8000,00;Goma Espuma; 	0; 1; 0
;Gimnasio para bebes de 1 m de diámetro	;3600,00;Goma Espuma; 	0; 1; 0
;Gusano educativo	;3000,00;Goma Espuma; 	0; 1; 0
;Juego de la Oca color y numérico	;6400,00;Goma Espuma; 	0; 1; 0
;Manta educativa	;2000,00;Goma Espuma; 	0; 1; 0
;Papas fritas- Huevo frito	;600,00;Goma Espuma; 	0; 1; 0
;Paracaídas 2 metros de diámetro para 8 chicos	;1800,00;Goma Espuma; 	0; 1; 0
;Paracaídas 3 metros de diámetro para 12 chicos 	;3000,00;Goma Espuma; 	0; 1; 0
;Paracaídas 4 metros de diámetro para 20 chicos 	;3400,00;Goma Espuma; 	0; 1; 0
;Pato en goma espuma	;1800,00;Goma Espuma; 	0; 1; 0
;Pelota en goma espuma maciza 15 o 20cm	;350,00;Goma Espuma; 	0; 1; 0
;Pelota en goma espuma maciza 30cm ;600,00;Goma Espuma; 	0; 1; 0
;Pelota en goma espuma maciza 40cm;600,00;Goma Espuma; 	0; 1; 0
;Pelota en goma espuma maciza 50cm;2000,00;Goma Espuma; 	0; 1; 0
;Pelotero 1,5mx1m	;9800,00;Goma Espuma; 	0; 1; 0
;Pizza	;1200,00;Goma Espuma; 	0; 1; 0
;Plantado Gigante 60x40x10cm	;3500,00;Goma Espuma; 	0; 1; 0
;Prisma de 50x50x40cm	;5500,00;Goma Espuma; 	0; 1; 0
;Prisma de 1x0,4x0,4m 	;8500,00;Goma Espuma; 	0; 1; 0
;Prisma de 1,2x0,3x0,3m	;6000,00;Goma Espuma; 	0; 1; 0
;Prisma de 0,3x0,3x1m.	;4900,00;Goma Espuma; 	0; 1; 0
;Prismitas pegadizos	;3600,00;Goma Espuma; 	0; 1; 0
;Puente 1x0,5x0,3m 	;8500,00;Goma Espuma; 	0; 1; 0
;Puente 50x50x70cm	;11000,00;Goma Espuma; 	0; 1; 0
;Puente 1x1x0,3m 	;14500,00;Goma Espuma; 	0; 1; 0
;Puente 1x0,5x0,5m 	;12000,00;Goma Espuma; 	0; 1; 0
;Puente Media Luna 1,20 x 0,50 x 0,30 m	;10000,00;Goma Espuma; 	0; 1; 0
;Puff 40cm (flor, vaquita)	;2200,00;Goma Espuma; 	0; 1; 0
;Puff 80cm 	;3800,00;Goma Espuma; 	0; 1; 0
;Retorcidos 	;5600,00;Goma Espuma; 	0; 1; 0
;Ruedas para caminar	;700,00;Goma Espuma; 	0; 1; 0
;Rueda 0,50x0,02	;450,00;Goma Espuma; 	0; 1; 0
;Rueda 1,20 x 1,20 goma espuma con hueco 0,60 	;21000,00;Goma Espuma; 	0; 1; 0
;Táctil	;1200,00;Goma Espuma; 	0; 1; 0
;Texturas  librito	;1800,00;Goma Espuma; 	0; 1; 0
;Títeres 460,00;460,00;Goma Espuma; 	0; 1; 0
;Tobogán 50x50x70cm	;4900,00;Goma Espuma; 	0; 1; 0
;Tobogán 30x30x50cm	;3200,00;Goma Espuma; 	0; 1; 0
;Tobogán 50x50x25	;2600,00;Goma Espuma; 	0; 1; 0
;Tobogán 1x0,5x0,5m 	;7900,00;Goma Espuma; 	0; 1; 0
;Tobogán 1x0,6x0,6m 	;9800,00;Goma Espuma; 	0; 1; 0
;Torta	;1200,00;Goma Espuma; 	0; 1; 0
;Tuerca 1x1x0,3m 	;16500,00;Goma Espuma; 	0; 1; 0
;Vamos a pescar 23 piezas	;2200,00;Goma Espuma; 	0; 1; 0
;Víbora de goma espuma y tela o cuerina 	;3400,00;Goma Espuma; 	0; 1; 0
;Viborita para caminar 2m de largo	;1400,00;Goma Espuma; 	0; 1; 0
;Yacaré en goma espuma	;1900,00;Goma Espuma; 	0; 1; 0
;Baldosas Goma eva  36 piezas	;3300,00;Plastico;	0;14; 0
